,reference_date,table,total_size
283875,2020-05-26,TAB000000,557483
283876,2020-05-27,TAB000000,560180
283877,2020-05-28,TAB000000,569316
283878,2020-05-29,TAB000000,578185
283880,2020-05-30,TAB000000,589418
283881,2020-05-31,TAB000000,601006
283888,2020-06-01,TAB000000,588345
283899,2020-06-02,TAB000000,598281
283911,2020-06-03,TAB000000,614206
283914,2020-06-04,TAB000000,623373
283915,2020-06-05,TAB000000,648698
283916,2020-06-06,TAB000000,664030
283917,2020-06-07,TAB000000,676978
283918,2020-06-08,TAB000000,687605
283919,2020-06-09,TAB000000,680836
283889,2020-06-10,TAB000000,688224
283890,2020-06-11,TAB000000,694673
283891,2020-06-12,TAB000000,715077
283892,2020-06-13,TAB000000,728246
283893,2020-06-14,TAB000000,742567
283894,2020-06-15,TAB000000,755210
283895,2020-06-16,TAB000000,768180
283896,2020-06-17,TAB000000,784904
283897,2020-06-18,TAB000000,788869
283898,2020-06-19,TAB000000,803951
283900,2020-06-20,TAB000000,814751
283901,2020-06-21,TAB000000,826950
283902,2020-06-22,TAB000000,835043
283903,2020-06-23,TAB000000,835904
283904,2020-06-24,TAB000000,855987
283905,2020-06-25,TAB000000,869392
283906,2020-06-26,TAB000000,891991
283907,2020-06-27,TAB000000,913664
283908,2020-06-28,TAB000000,929536
283909,2020-06-29,TAB000000,1803176
283910,2020-06-29,TAB000000,1803176
283912,2020-06-30,TAB000000,1893266
283913,2020-06-30,TAB000000,1893266
283920,2020-07-01,TAB000000,5799468
283921,2020-07-01,TAB000000,5799468
283922,2020-07-01,TAB000000,5799468
283923,2020-07-01,TAB000000,5799468
283924,2020-07-01,TAB000000,5799468
283925,2020-07-01,TAB000000,5799468
283937,2020-07-02,TAB000000,1004779
283948,2020-07-03,TAB000000,1010874
283951,2020-07-04,TAB000000,2011646
283952,2020-07-04,TAB000000,2011646
283953,2020-07-05,TAB000000,2012785
283954,2020-07-05,TAB000000,2012785
283955,2020-07-06,TAB000000,2005760
283956,2020-07-06,TAB000000,2005760
283957,2020-07-07,TAB000000,2071065
283958,2020-07-07,TAB000000,2071065
283959,2020-07-08,TAB000000,2107450
283960,2020-07-08,TAB000000,2107450
283961,2020-07-09,TAB000000,2104851
283962,2020-07-09,TAB000000,2104851
283926,2020-07-10,TAB000000,1072660
283927,2020-07-11,TAB000000,2129447
283928,2020-07-11,TAB000000,2129447
283929,2020-07-12,TAB000000,1073551
283930,2020-07-13,TAB000000,1069770
283931,2020-07-14,TAB000000,1065890
283932,2020-07-15,TAB000000,1068350
283933,2020-07-16,TAB000000,1070622
283934,2020-07-17,TAB000000,1077403
283935,2020-07-18,TAB000000,1080283
283936,2020-07-19,TAB000000,1077503
283938,2020-07-20,TAB000000,1076522
283939,2020-07-21,TAB000000,1074111
283940,2020-07-22,TAB000000,1074163
283941,2020-07-23,TAB000000,1071867
283942,2020-07-24,TAB000000,1071747
283943,2020-07-25,TAB000000,1060360
283944,2020-07-26,TAB000000,1054069
283945,2020-07-27,TAB000000,1046712
283946,2020-07-28,TAB000000,1038744
283947,2020-07-29,TAB000000,1030539
283949,2020-07-30,TAB000000,1023282
283950,2020-07-31,TAB000000,1006592
283963,2020-08-01,TAB000000,975601
283975,2020-08-02,TAB000000,958342
283986,2020-08-03,TAB000000,947798
283989,2020-08-04,TAB000000,932661
283990,2020-08-05,TAB000000,918848
283991,2020-08-06,TAB000000,892487
283992,2020-08-07,TAB000000,874909
283993,2020-08-08,TAB000000,849497
283994,2020-08-09,TAB000000,827738
283964,2020-08-10,TAB000000,899421
283965,2020-08-11,TAB000000,877406
283966,2020-08-12,TAB000000,830099
283967,2020-08-13,TAB000000,816449
283968,2020-08-14,TAB000000,802165
283969,2020-08-15,TAB000000,781909
283970,2020-08-16,TAB000000,766565
283971,2020-08-17,TAB000000,1511366
283972,2020-08-17,TAB000000,1511366
283973,2020-08-18,TAB000000,743228
283974,2020-08-19,TAB000000,732846
283976,2020-08-20,TAB000000,712973
