,reference_date,table,total_size
374774,2020-02-05,TAB000003,3171994
374776,2020-02-06,TAB000003,3225341
374778,2020-02-07,TAB000003,2855820
374780,2020-02-08,TAB000003,2529159
374782,2020-02-09,TAB000003,2633559
374728,2020-02-10,TAB000003,3444172
374730,2020-02-11,TAB000003,4147387
374732,2020-02-12,TAB000003,4345994
374734,2020-02-13,TAB000003,4205823
374736,2020-02-14,TAB000003,3626030
374738,2020-02-15,TAB000003,2994908
374740,2020-02-16,TAB000003,3240338
374742,2020-02-17,TAB000003,4251540
374744,2020-02-18,TAB000003,5012137
374746,2020-02-19,TAB000003,4938459
374750,2020-02-20,TAB000003,4692598
374752,2020-02-21,TAB000003,3817632
374754,2020-02-22,TAB000003,3248154
374756,2020-02-23,TAB000003,3197042
374758,2020-02-24,TAB000003,4622503
374760,2020-02-25,TAB000003,5718039
374762,2020-02-26,TAB000003,6495044
374764,2020-02-27,TAB000003,6939264
374766,2020-02-28,TAB000003,6293137
374768,2020-02-29,TAB000003,5701613
374784,2020-03-01,TAB000003,6179715
374806,2020-03-02,TAB000003,7608577
374828,2020-03-03,TAB000003,8861048
374834,2020-03-04,TAB000003,8747351
374836,2020-03-05,TAB000003,8654863
374838,2020-03-06,TAB000003,7453548
374840,2020-03-07,TAB000003,6862527
374842,2020-03-08,TAB000003,7697530
374844,2020-03-09,TAB000003,10171680
374786,2020-03-10,TAB000003,12353190
374788,2020-03-11,TAB000003,13203638
374790,2020-03-12,TAB000003,12885591
374792,2020-03-13,TAB000003,10091966
374794,2020-03-14,TAB000003,8151910
374796,2020-03-15,TAB000003,8809633
374798,2020-03-16,TAB000003,10736500
374800,2020-03-17,TAB000003,9109596
374802,2020-03-18,TAB000003,7725259
374804,2020-03-19,TAB000003,7810815
374808,2020-03-20,TAB000003,7462824
374810,2020-03-21,TAB000003,6972848
374812,2020-03-22,TAB000003,6356215
374814,2020-03-23,TAB000003,8481099
374816,2020-03-24,TAB000003,10330340
374818,2020-03-25,TAB000003,10795941
374820,2020-03-26,TAB000003,10616243
374822,2020-03-27,TAB000003,9816074
374824,2020-03-28,TAB000003,9829297
374826,2020-03-29,TAB000003,8115318
374830,2020-03-30,TAB000003,12099264
374832,2020-03-31,TAB000003,11656741
374846,2020-04-01,TAB000003,9273186
374868,2020-04-02,TAB000003,8574504
374890,2020-04-03,TAB000003,7151927
374894,2020-04-04,TAB000003,5359378
374896,2020-04-05,TAB000003,4466340
374898,2020-04-06,TAB000003,6583320
374900,2020-04-07,TAB000003,6729020
374902,2020-04-08,TAB000003,6670924
374904,2020-04-09,TAB000003,6550058
374848,2020-04-10,TAB000003,5405018
374850,2020-04-11,TAB000003,4754491
374852,2020-04-12,TAB000003,4150598
374854,2020-04-13,TAB000003,7939803
374856,2020-04-14,TAB000003,9951383
374858,2020-04-15,TAB000003,9269209
374860,2020-04-16,TAB000003,7656127
374862,2020-04-17,TAB000003,8300775
374864,2020-04-18,TAB000003,6759327
374866,2020-04-19,TAB000003,5951145
374870,2020-04-20,TAB000003,8655913
374872,2020-04-21,TAB000003,9027324
374874,2020-04-22,TAB000003,10367664
374876,2020-04-23,TAB000003,11323588
374878,2020-04-24,TAB000003,8763243
374880,2020-04-25,TAB000003,7622281
374882,2020-04-26,TAB000003,5946510
374884,2020-04-27,TAB000003,10477789
374886,2020-04-28,TAB000003,11534867
374888,2020-04-29,TAB000003,10518782
374892,2020-04-30,TAB000003,9442345
374906,2020-05-01,TAB000003,7133974
374928,2020-05-02,TAB000003,8223404
374950,2020-05-03,TAB000003,8153394
374956,2020-05-04,TAB000003,12917252
374958,2020-05-05,TAB000003,12633289
374960,2020-05-06,TAB000003,14013408
374962,2020-05-07,TAB000003,12692957
374964,2020-05-08,TAB000003,10917792
374966,2020-05-09,TAB000003,7532563
374908,2020-05-10,TAB000003,5748698
374910,2020-05-11,TAB000003,11807019
374912,2020-05-12,TAB000003,13999607
374914,2020-05-13,TAB000003,14664305
374916,2020-05-14,TAB000003,14034931
374918,2020-05-15,TAB000003,12363252
374920,2020-05-16,TAB000003,9096517
374922,2020-05-17,TAB000003,7243113
374924,2020-05-18,TAB000003,11894232
374926,2020-05-19,TAB000003,13384397
374930,2020-05-20,TAB000003,12473582
374932,2020-05-21,TAB000003,13117028
374934,2020-05-22,TAB000003,11993317
374936,2020-05-23,TAB000003,9655935
374938,2020-05-24,TAB000003,8216070
374940,2020-05-25,TAB000003,13267722
374942,2020-05-26,TAB000003,14073131
374944,2020-05-27,TAB000003,12794904
374946,2020-05-28,TAB000003,11310192
374948,2020-05-29,TAB000003,11139656
374952,2020-05-30,TAB000003,8860923
374954,2020-05-31,TAB000003,7105407
374968,2020-06-01,TAB000003,11324771
374990,2020-06-02,TAB000003,12919040
375012,2020-06-03,TAB000003,12708124
375016,2020-06-04,TAB000003,12202774
375018,2020-06-05,TAB000003,10266701
375020,2020-06-06,TAB000003,8700356
375022,2020-06-07,TAB000003,6977353
375024,2020-06-08,TAB000003,10245147
375026,2020-06-09,TAB000003,12890927
374970,2020-06-10,TAB000003,12482758
374972,2020-06-11,TAB000003,9855049
374974,2020-06-12,TAB000003,6815842
374976,2020-06-13,TAB000003,6238535
374978,2020-06-14,TAB000003,5792938
374980,2020-06-15,TAB000003,11003371
374982,2020-06-16,TAB000003,12175872
374984,2020-06-17,TAB000003,11728450
374986,2020-06-18,TAB000003,11036769
374988,2020-06-19,TAB000003,9814205
374992,2020-06-20,TAB000003,7949242
374994,2020-06-21,TAB000003,5064658
374996,2020-06-22,TAB000003,8756956
374998,2020-06-23,TAB000003,9254697
375000,2020-06-24,TAB000003,7526655
375002,2020-06-25,TAB000003,7803751
375004,2020-06-26,TAB000003,7313671
375006,2020-06-27,TAB000003,5571554
375008,2020-06-28,TAB000003,4422857
375010,2020-06-29,TAB000003,6800370
375014,2020-06-30,TAB000003,7491631
375028,2020-07-01,TAB000003,5810382
375050,2020-07-02,TAB000003,4948778
375072,2020-07-03,TAB000003,5091795
375078,2020-07-04,TAB000003,4414720
375080,2020-07-05,TAB000003,3453237
375082,2020-07-06,TAB000003,4753282
375084,2020-07-07,TAB000003,5303739
375086,2020-07-08,TAB000003,5012004
375088,2020-07-09,TAB000003,4299773
375030,2020-07-10,TAB000003,3680618
375032,2020-07-11,TAB000003,3191055
375034,2020-07-12,TAB000003,2904653
375036,2020-07-13,TAB000003,4219693
375038,2020-07-14,TAB000003,4640522
375040,2020-07-15,TAB000003,4576971
375042,2020-07-16,TAB000003,4389038
375044,2020-07-17,TAB000003,3698706
375046,2020-07-18,TAB000003,2875949
375048,2020-07-19,TAB000003,2735125
375052,2020-07-20,TAB000003,3990209
375054,2020-07-21,TAB000003,4589225
375056,2020-07-22,TAB000003,4307831
375058,2020-07-23,TAB000003,4179393
375060,2020-07-24,TAB000003,3972509
375062,2020-07-25,TAB000003,3228448
375064,2020-07-26,TAB000003,3248177
375066,2020-07-27,TAB000003,5020546
375068,2020-07-28,TAB000003,4914013
375070,2020-07-29,TAB000003,4653725
375074,2020-07-30,TAB000003,4352041
375076,2020-07-31,TAB000003,3710843
375090,2020-08-01,TAB000003,3002057
375112,2020-08-02,TAB000003,3142841
375134,2020-08-03,TAB000003,4713278
375140,2020-08-04,TAB000003,6061727
375142,2020-08-05,TAB000003,6305543
375144,2020-08-06,TAB000003,4245842
375146,2020-08-07,TAB000003,3705995
375148,2020-08-08,TAB000003,2610510
375150,2020-08-09,TAB000003,2131076
375092,2020-08-10,TAB000003,4216663
375094,2020-08-11,TAB000003,5101414
375096,2020-08-12,TAB000003,4624484
375098,2020-08-13,TAB000003,4042346
375100,2020-08-14,TAB000003,4040850
375102,2020-08-15,TAB000003,2848001
375104,2020-08-16,TAB000003,2736498
375106,2020-08-17,TAB000003,4630938
375108,2020-08-18,TAB000003,5842391
375110,2020-08-19,TAB000003,5631120
375114,2020-08-20,TAB000003,5655256
375116,2020-08-21,TAB000003,5063087
375118,2020-08-22,TAB000003,3677984
375120,2020-08-23,TAB000003,3526447
375122,2020-08-24,TAB000003,5368811
375124,2020-08-25,TAB000003,6587047
375126,2020-08-26,TAB000003,6558950
375128,2020-08-27,TAB000003,6471869
375130,2020-08-28,TAB000003,5901527
375132,2020-08-29,TAB000003,4250436
375136,2020-08-30,TAB000003,4078954
375138,2020-08-31,TAB000003,6695790
375152,2020-09-01,TAB000003,8129518
375174,2020-09-02,TAB000003,7818049
375196,2020-09-03,TAB000003,6728840
375200,2020-09-04,TAB000003,5900151
375202,2020-09-05,TAB000003,4276939
375204,2020-09-06,TAB000003,4008694
375206,2020-09-07,TAB000003,6311500
375208,2020-09-08,TAB000003,7732284
375210,2020-09-09,TAB000003,9861937
375154,2020-09-10,TAB000003,9655046
375156,2020-09-11,TAB000003,8182977
375158,2020-09-12,TAB000003,5736240
375160,2020-09-13,TAB000003,5626489
375162,2020-09-14,TAB000003,10330316
375164,2020-09-15,TAB000003,11421404
375166,2020-09-16,TAB000003,8785855
375168,2020-09-17,TAB000003,9411206
375170,2020-09-18,TAB000003,7992792
375172,2020-09-19,TAB000003,5720168
375176,2020-09-20,TAB000003,5669012
375178,2020-09-21,TAB000003,10003302
375180,2020-09-22,TAB000003,11955098
375182,2020-09-23,TAB000003,10938480
375184,2020-09-24,TAB000003,10253497
375186,2020-09-25,TAB000003,9173771
375188,2020-09-26,TAB000003,7510112
375190,2020-09-27,TAB000003,5343524
375192,2020-09-28,TAB000003,10419367
375194,2020-09-29,TAB000003,12137306
375198,2020-09-30,TAB000003,10994044
374542,2020-10-01,TAB000003,9580395
374564,2020-10-02,TAB000003,8368732
374586,2020-10-03,TAB000003,6072667
374592,2020-10-04,TAB000003,6287161
374594,2020-10-05,TAB000003,10921334
374596,2020-10-06,TAB000003,12726181
374598,2020-10-07,TAB000003,12723830
374600,2020-10-08,TAB000003,12312495
374602,2020-10-09,TAB000003,11426976
374544,2020-10-10,TAB000003,7127823
374546,2020-10-11,TAB000003,5248631
374548,2020-10-12,TAB000003,6998104
374550,2020-10-13,TAB000003,10107016
374552,2020-10-14,TAB000003,11490737
374554,2020-10-15,TAB000003,11154863
374556,2020-10-16,TAB000003,8364107
374558,2020-10-17,TAB000003,5390934
374560,2020-10-18,TAB000003,5064070
374562,2020-10-19,TAB000003,9646616
374566,2020-10-20,TAB000003,11410968
374568,2020-10-21,TAB000003,11384940
374570,2020-10-22,TAB000003,11086588
374572,2020-10-23,TAB000003,9839815
374574,2020-10-24,TAB000003,6919747
374576,2020-10-25,TAB000003,6523937
374578,2020-10-26,TAB000003,11273636
374580,2020-10-27,TAB000003,12557006
374582,2020-10-28,TAB000003,11459806
374584,2020-10-29,TAB000003,11074576
374588,2020-10-30,TAB000003,9934602
374590,2020-10-31,TAB000003,7104705
374604,2020-11-01,TAB000003,5516822
374626,2020-11-02,TAB000003,8392396
374648,2020-11-03,TAB000003,11920018
374652,2020-11-04,TAB000003,12025593
374654,2020-11-05,TAB000003,11775182
374656,2020-11-06,TAB000003,10604846
374658,2020-11-07,TAB000003,7350546
374660,2020-11-08,TAB000003,7275141
374662,2020-11-09,TAB000003,12467761
374606,2020-11-10,TAB000003,14270565
374608,2020-11-11,TAB000003,14064418
374610,2020-11-12,TAB000003,13175233
374612,2020-11-13,TAB000003,12071766
374614,2020-11-14,TAB000003,8130321
374616,2020-11-15,TAB000003,5850706
374618,2020-11-16,TAB000003,12912170
374620,2020-11-17,TAB000003,15588914
374622,2020-11-18,TAB000003,15845636
374624,2020-11-19,TAB000003,16029138
374628,2020-11-20,TAB000003,14953752
374630,2020-11-21,TAB000003,11486471
374632,2020-11-22,TAB000003,8661799
374634,2020-11-23,TAB000003,13822707
374636,2020-11-24,TAB000003,14237530
374638,2020-11-25,TAB000003,15164059
374640,2020-11-26,TAB000003,16267069
374642,2020-11-27,TAB000003,15479828
374644,2020-11-28,TAB000003,12607155
374646,2020-11-29,TAB000003,10338277
374650,2020-11-30,TAB000003,11704321
374664,2020-12-01,TAB000003,14498228
374686,2020-12-02,TAB000003,14803223
374708,2020-12-03,TAB000003,14955440
374714,2020-12-04,TAB000003,12971757
374716,2020-12-05,TAB000003,11411636
374718,2020-12-06,TAB000003,8005720
374720,2020-12-07,TAB000003,11598108
374722,2020-12-08,TAB000003,13016627
374724,2020-12-09,TAB000003,12114697
374666,2020-12-10,TAB000003,11715015
374668,2020-12-11,TAB000003,10995719
374670,2020-12-12,TAB000003,8033073
374672,2020-12-13,TAB000003,5984679
374674,2020-12-14,TAB000003,8211974
374676,2020-12-15,TAB000003,8408032
374678,2020-12-16,TAB000003,7421771
374680,2020-12-17,TAB000003,6954748
374682,2020-12-18,TAB000003,6859102
374684,2020-12-19,TAB000003,4068396
374688,2020-12-20,TAB000003,2411779
374690,2020-12-21,TAB000003,3233765
374692,2020-12-22,TAB000003,2836279
374694,2020-12-23,TAB000003,2321268
374696,2020-12-24,TAB000003,1377166
374698,2020-12-25,TAB000003,1087476
374700,2020-12-26,TAB000003,1965234
374702,2020-12-27,TAB000003,2047204
374704,2020-12-28,TAB000003,2431974
374706,2020-12-29,TAB000003,2410042
374710,2020-12-30,TAB000003,2106186
374712,2020-12-31,TAB000003,1404360
375213,2021-01-01,TAB000003,830213
375235,2021-01-02,TAB000003,1405654
375257,2021-01-03,TAB000003,1615345
375263,2021-01-04,TAB000003,2379067
375265,2021-01-05,TAB000003,3053949
375267,2021-01-06,TAB000003,2988119
375269,2021-01-07,TAB000003,2911791
375271,2021-01-08,TAB000003,2608297
375273,2021-01-09,TAB000003,2122580
375215,2021-01-10,TAB000003,2064816
375217,2021-01-11,TAB000003,2850987
375219,2021-01-12,TAB000003,3277218
375221,2021-01-13,TAB000003,3208279
375223,2021-01-14,TAB000003,3304455
375225,2021-01-15,TAB000003,3015421
375227,2021-01-16,TAB000003,2559583
375229,2021-01-17,TAB000003,2260110
375231,2021-01-18,TAB000003,2900638
375233,2021-01-19,TAB000003,3119740
375237,2021-01-20,TAB000003,3070711
375239,2021-01-21,TAB000003,3056407
375241,2021-01-22,TAB000003,2689451
375243,2021-01-23,TAB000003,2169269
375245,2021-01-24,TAB000003,2037026
375247,2021-01-25,TAB000003,2987268
375249,2021-01-26,TAB000003,3299472
375251,2021-01-27,TAB000003,3236257
375253,2021-01-28,TAB000003,3119616
375255,2021-01-29,TAB000003,2820420
375259,2021-01-30,TAB000003,2307464
375261,2021-01-31,TAB000003,461193
375275,2021-02-01,TAB000003,2328658
375297,2021-02-02,TAB000003,3269453
375307,2021-02-03,TAB000003,3347146
375309,2021-02-04,TAB000003,3290147
375311,2021-02-05,TAB000003,2817757
375313,2021-02-06,TAB000003,2395276
375315,2021-02-07,TAB000003,2380245
375317,2021-02-08,TAB000003,3442524
375319,2021-02-09,TAB000003,3943133
375277,2021-02-10,TAB000003,4125556
375279,2021-02-11,TAB000003,4031012
375281,2021-02-12,TAB000003,3580001
375283,2021-02-13,TAB000003,2893629
375285,2021-02-14,TAB000003,2789925
375287,2021-02-15,TAB000003,3888440
375289,2021-02-16,TAB000003,4391931
375291,2021-02-17,TAB000003,4282923
375293,2021-02-18,TAB000003,4574524
375295,2021-02-19,TAB000003,4082749
375299,2021-02-20,TAB000003,3746589
375301,2021-02-21,TAB000003,3303383
375303,2021-02-22,TAB000003,4995848
375305,2021-02-23,TAB000003,2943306
457479,2019-01-01,TAB000004,177
457501,2019-01-02,TAB000004,177
457523,2019-01-03,TAB000004,177
457529,2019-01-04,TAB000004,177
457531,2019-01-05,TAB000004,177
457533,2019-01-06,TAB000004,177
457535,2019-01-07,TAB000004,177
457537,2019-01-08,TAB000004,177
457539,2019-01-09,TAB000004,177
457481,2019-01-10,TAB000004,177
457483,2019-01-11,TAB000004,177
457485,2019-01-12,TAB000004,177
457487,2019-01-13,TAB000004,177
457489,2019-01-14,TAB000004,177
457491,2019-01-15,TAB000004,177
457493,2019-01-16,TAB000004,177
457495,2019-01-17,TAB000004,177
457497,2019-01-18,TAB000004,177
457499,2019-01-19,TAB000004,177
457503,2019-01-20,TAB000004,177
457505,2019-01-21,TAB000004,177
457507,2019-01-22,TAB000004,177
457509,2019-01-23,TAB000004,177
457511,2019-01-24,TAB000004,177
457513,2019-01-25,TAB000004,177
457515,2019-01-26,TAB000004,177
457517,2019-01-27,TAB000004,177
457519,2019-01-28,TAB000004,177
457521,2019-01-29,TAB000004,177
457525,2019-01-30,TAB000004,177
457527,2019-01-31,TAB000004,177
457726,2019-02-01,TAB000004,177
457748,2019-02-02,TAB000004,177
457768,2019-02-03,TAB000004,177
457770,2019-02-04,TAB000004,177
457772,2019-02-05,TAB000004,177
457774,2019-02-06,TAB000004,177
457776,2019-02-07,TAB000004,177
457778,2019-02-08,TAB000004,177
457780,2019-02-09,TAB000004,177
457728,2019-02-10,TAB000004,177
457730,2019-02-11,TAB000004,177
457732,2019-02-12,TAB000004,177
457734,2019-02-13,TAB000004,177
457736,2019-02-14,TAB000004,177
457738,2019-02-15,TAB000004,177
457740,2019-02-16,TAB000004,177
457742,2019-02-17,TAB000004,177
457744,2019-02-18,TAB000004,177
457746,2019-02-19,TAB000004,177
457750,2019-02-20,TAB000004,177
457752,2019-02-21,TAB000004,177
457754,2019-02-22,TAB000004,177
457756,2019-02-23,TAB000004,177
457758,2019-02-24,TAB000004,177
457760,2019-02-25,TAB000004,177
457762,2019-02-26,TAB000004,177
457764,2019-02-27,TAB000004,177
457766,2019-02-28,TAB000004,177
457782,2019-03-01,TAB000004,177
457804,2019-03-02,TAB000004,177
457826,2019-03-03,TAB000004,177
457832,2019-03-04,TAB000004,177
457834,2019-03-05,TAB000004,177
457836,2019-03-06,TAB000004,177
457838,2019-03-07,TAB000004,177
457840,2019-03-08,TAB000004,177
457842,2019-03-09,TAB000004,177
457784,2019-03-10,TAB000004,177
457786,2019-03-11,TAB000004,177
457788,2019-03-12,TAB000004,177
457790,2019-03-13,TAB000004,177
457792,2019-03-14,TAB000004,177
457794,2019-03-15,TAB000004,177
457796,2019-03-16,TAB000004,177
457798,2019-03-17,TAB000004,177
457800,2019-03-18,TAB000004,177
457802,2019-03-19,TAB000004,177
457806,2019-03-20,TAB000004,177
457808,2019-03-21,TAB000004,177
457810,2019-03-22,TAB000004,177
457812,2019-03-23,TAB000004,177
457814,2019-03-24,TAB000004,177
457816,2019-03-25,TAB000004,177
457818,2019-03-26,TAB000004,177
457820,2019-03-27,TAB000004,177
457822,2019-03-28,TAB000004,177
457824,2019-03-29,TAB000004,177
457828,2019-03-30,TAB000004,177
457830,2019-03-31,TAB000004,177
457844,2019-04-01,TAB000004,177
457866,2019-04-02,TAB000004,177
457888,2019-04-03,TAB000004,177
457892,2019-04-04,TAB000004,177
457894,2019-04-05,TAB000004,177
457896,2019-04-06,TAB000004,177
457898,2019-04-07,TAB000004,177
457900,2019-04-08,TAB000004,177
457902,2019-04-09,TAB000004,177
457846,2019-04-10,TAB000004,177
457848,2019-04-11,TAB000004,177
457850,2019-04-12,TAB000004,177
457852,2019-04-13,TAB000004,177
457854,2019-04-14,TAB000004,177
457856,2019-04-15,TAB000004,177
457858,2019-04-16,TAB000004,177
457860,2019-04-17,TAB000004,177
457862,2019-04-18,TAB000004,177
457864,2019-04-19,TAB000004,177
457868,2019-04-20,TAB000004,177
457870,2019-04-21,TAB000004,177
457872,2019-04-22,TAB000004,177
457874,2019-04-23,TAB000004,177
457876,2019-04-24,TAB000004,177
457878,2019-04-25,TAB000004,177
457880,2019-04-26,TAB000004,177
457882,2019-04-27,TAB000004,177
457884,2019-04-28,TAB000004,177
457886,2019-04-29,TAB000004,177
457890,2019-04-30,TAB000004,177
457904,2019-05-01,TAB000004,177
457926,2019-05-02,TAB000004,177
457948,2019-05-03,TAB000004,177
457954,2019-05-04,TAB000004,177
457956,2019-05-05,TAB000004,177
457958,2019-05-06,TAB000004,177
457960,2019-05-07,TAB000004,177
457962,2019-05-08,TAB000004,177
457964,2019-05-09,TAB000004,177
457906,2019-05-10,TAB000004,177
457908,2019-05-11,TAB000004,177
457910,2019-05-12,TAB000004,177
457912,2019-05-13,TAB000004,177
457914,2019-05-14,TAB000004,177
457916,2019-05-15,TAB000004,177
457918,2019-05-16,TAB000004,177
457920,2019-05-17,TAB000004,177
457922,2019-05-18,TAB000004,177
457924,2019-05-19,TAB000004,177
457928,2019-05-20,TAB000004,177
457930,2019-05-21,TAB000004,177
457932,2019-05-22,TAB000004,177
457934,2019-05-23,TAB000004,177
457936,2019-05-24,TAB000004,177
457938,2019-05-25,TAB000004,177
457940,2019-05-26,TAB000004,177
457942,2019-05-27,TAB000004,177
457944,2019-05-28,TAB000004,177
457946,2019-05-29,TAB000004,177
457950,2019-05-30,TAB000004,177
457952,2019-05-31,TAB000004,177
457966,2019-06-01,TAB000004,177
457988,2019-06-02,TAB000004,177
458010,2019-06-03,TAB000004,177
458014,2019-06-04,TAB000004,177
458016,2019-06-05,TAB000004,177
458018,2019-06-06,TAB000004,177
458020,2019-06-07,TAB000004,177
458022,2019-06-08,TAB000004,177
458024,2019-06-09,TAB000004,177
457968,2019-06-10,TAB000004,177
457970,2019-06-11,TAB000004,177
457972,2019-06-12,TAB000004,177
457974,2019-06-13,TAB000004,177
457976,2019-06-14,TAB000004,177
457978,2019-06-15,TAB000004,177
457980,2019-06-16,TAB000004,177
457982,2019-06-17,TAB000004,177
457984,2019-06-18,TAB000004,177
457986,2019-06-19,TAB000004,122659
457990,2019-06-20,TAB000004,138102
457992,2019-06-21,TAB000004,147514
457994,2019-06-22,TAB000004,115452
457996,2019-06-23,TAB000004,135988
457998,2019-06-24,TAB000004,210737
458000,2019-06-25,TAB000004,228750
458002,2019-06-26,TAB000004,209694
458004,2019-06-27,TAB000004,194230
458006,2019-06-28,TAB000004,148213
458008,2019-06-29,TAB000004,95409
458012,2019-06-30,TAB000004,101065
458026,2019-07-01,TAB000004,145724
458048,2019-07-02,TAB000004,140981
458070,2019-07-03,TAB000004,129994
458076,2019-07-04,TAB000004,122779
458078,2019-07-05,TAB000004,92438
458080,2019-07-06,TAB000004,59092
458082,2019-07-07,TAB000004,60962
458084,2019-07-08,TAB000004,101357
458086,2019-07-09,TAB000004,106714
458028,2019-07-10,TAB000004,107598
458030,2019-07-11,TAB000004,99966
458032,2019-07-12,TAB000004,76040
458034,2019-07-13,TAB000004,54832
458036,2019-07-14,TAB000004,58806
458038,2019-07-15,TAB000004,103083
458040,2019-07-16,TAB000004,105528
458042,2019-07-17,TAB000004,94683
458044,2019-07-18,TAB000004,89965
458046,2019-07-19,TAB000004,81004
458050,2019-07-20,TAB000004,50790
458052,2019-07-21,TAB000004,58437
458054,2019-07-22,TAB000004,96666
458056,2019-07-23,TAB000004,99456
458058,2019-07-24,TAB000004,96135
458060,2019-07-25,TAB000004,97528
458062,2019-07-26,TAB000004,86626
458064,2019-07-27,TAB000004,52424
458066,2019-07-28,TAB000004,54725
458068,2019-07-29,TAB000004,101151
458072,2019-07-30,TAB000004,109583
458074,2019-07-31,TAB000004,113056
458088,2019-08-01,TAB000004,105634
458110,2019-08-02,TAB000004,97727
458132,2019-08-03,TAB000004,62028
458138,2019-08-04,TAB000004,64994
458140,2019-08-05,TAB000004,108740
458142,2019-08-06,TAB000004,123194
458144,2019-08-07,TAB000004,125517
458146,2019-08-08,TAB000004,123274
458148,2019-08-09,TAB000004,104611
458090,2019-08-10,TAB000004,74475
458092,2019-08-11,TAB000004,76553
458094,2019-08-12,TAB000004,139449
458096,2019-08-13,TAB000004,165080
458098,2019-08-14,TAB000004,156651
458100,2019-08-15,TAB000004,149179
458102,2019-08-16,TAB000004,127742
458104,2019-08-17,TAB000004,94339
458106,2019-08-18,TAB000004,119198
458108,2019-08-19,TAB000004,174922
458112,2019-08-20,TAB000004,194275
458114,2019-08-21,TAB000004,186879
458116,2019-08-22,TAB000004,183520
458118,2019-08-23,TAB000004,156403
458120,2019-08-24,TAB000004,120351
458122,2019-08-25,TAB000004,150860
458124,2019-08-26,TAB000004,220559
458126,2019-08-27,TAB000004,234393
458128,2019-08-28,TAB000004,214992
458130,2019-08-29,TAB000004,204771
458134,2019-08-30,TAB000004,164622
458136,2019-08-31,TAB000004,121527
458150,2019-09-01,TAB000004,138045
458172,2019-09-02,TAB000004,200137
458194,2019-09-03,TAB000004,215658
458198,2019-09-04,TAB000004,214922
458200,2019-09-05,TAB000004,186830
458202,2019-09-06,TAB000004,155373
458204,2019-09-07,TAB000004,135144
458206,2019-09-08,TAB000004,136549
458208,2019-09-09,TAB000004,272458
458152,2019-09-10,TAB000004,248958
458154,2019-09-11,TAB000004,228748
458156,2019-09-12,TAB000004,228878
458158,2019-09-13,TAB000004,199694
458160,2019-09-14,TAB000004,152745
458162,2019-09-15,TAB000004,182845
458164,2019-09-16,TAB000004,257787
458166,2019-09-17,TAB000004,294861
458168,2019-09-18,TAB000004,287315
458170,2019-09-19,TAB000004,271313
458174,2019-09-20,TAB000004,236584
458176,2019-09-21,TAB000004,187978
458178,2019-09-22,TAB000004,230300
458180,2019-09-23,TAB000004,340076
458182,2019-09-24,TAB000004,350438
458184,2019-09-25,TAB000004,337526
458186,2019-09-26,TAB000004,303229
458188,2019-09-27,TAB000004,246873
458190,2019-09-28,TAB000004,179924
458192,2019-09-29,TAB000004,193541
458196,2019-09-30,TAB000004,271708
457541,2019-10-01,TAB000004,259197
457563,2019-10-02,TAB000004,237304
457585,2019-10-03,TAB000004,229441
457591,2019-10-04,TAB000004,183402
457593,2019-10-05,TAB000004,127259
457595,2019-10-06,TAB000004,144414
457597,2019-10-07,TAB000004,203002
457599,2019-10-08,TAB000004,222418
457601,2019-10-09,TAB000004,211747
457543,2019-10-10,TAB000004,180941
457545,2019-10-11,TAB000004,137714
457547,2019-10-12,TAB000004,91838
457549,2019-10-13,TAB000004,117551
457551,2019-10-14,TAB000004,185442
457553,2019-10-15,TAB000004,213891
457555,2019-10-16,TAB000004,208423
457557,2019-10-17,TAB000004,197531
457559,2019-10-18,TAB000004,169717
457561,2019-10-19,TAB000004,128435
457565,2019-10-20,TAB000004,159838
457567,2019-10-21,TAB000004,249446
457569,2019-10-22,TAB000004,251054
457571,2019-10-23,TAB000004,244000
457573,2019-10-24,TAB000004,220394
457575,2019-10-25,TAB000004,185628
457577,2019-10-26,TAB000004,147443
457579,2019-10-27,TAB000004,167161
457581,2019-10-28,TAB000004,261047
457583,2019-10-29,TAB000004,278863
457587,2019-10-30,TAB000004,271023
457589,2019-10-31,TAB000004,225755
457603,2019-11-01,TAB000004,172909
457625,2019-11-02,TAB000004,139682
457647,2019-11-03,TAB000004,152892
457651,2019-11-04,TAB000004,218479
457653,2019-11-05,TAB000004,232785
457655,2019-11-06,TAB000004,225276
457657,2019-11-07,TAB000004,205623
457659,2019-11-08,TAB000004,155340
457661,2019-11-09,TAB000004,117910
457605,2019-11-10,TAB000004,153762
457607,2019-11-11,TAB000004,223100
457609,2019-11-12,TAB000004,242842
457611,2019-11-13,TAB000004,232352
457613,2019-11-14,TAB000004,203956
457615,2019-11-15,TAB000004,177557
457617,2019-11-16,TAB000004,171251
457619,2019-11-17,TAB000004,209619
457621,2019-11-18,TAB000004,318103
457623,2019-11-19,TAB000004,322708
457627,2019-11-20,TAB000004,313522
457629,2019-11-21,TAB000004,294612
457631,2019-11-22,TAB000004,232796
457633,2019-11-23,TAB000004,157234
457635,2019-11-24,TAB000004,174764
457637,2019-11-25,TAB000004,251920
457639,2019-11-26,TAB000004,257343
457641,2019-11-27,TAB000004,249835
457643,2019-11-28,TAB000004,224200
457645,2019-11-29,TAB000004,176135
457649,2019-11-30,TAB000004,124206
457663,2019-12-01,TAB000004,137311
457685,2019-12-02,TAB000004,191371
457707,2019-12-03,TAB000004,201197
457713,2019-12-04,TAB000004,192543
457715,2019-12-05,TAB000004,163752
